country,year,city,latitude,longitude,host
afghanistan,2012,kabul,34.5333,69.1667,
afghanistan,2008,kabul,34.5333,69.1667,
afghanistan,2004,kabul,34.5333,69.1667,
afghanistan,1996,kabul,34.5333,69.1667,
afghanistan,1988,kabul,34.5333,69.1667,
afghanistan,1980,kabul,34.5333,69.1667,
afghanistan,1972,kabul,34.5333,69.1667,
afghanistan,1968,kabul,34.5333,69.1667,
afghanistan,1964,kabul,34.5333,69.1667,
afghanistan,1960,kabul,34.5333,69.1667,
afghanistan,1956,kabul,34.5333,69.1667,
afghanistan,1948,kabul,34.5333,69.1667,
afghanistan,1936,kabul,34.5333,69.1667,
albania,2012,tirana,41.326,19.816,
albania,2008,tirana,41.326,19.816,
albania,2004,tirana,41.326,19.816,
albania,2000,tirana,41.326,19.816,
albania,1996,tirana,41.326,19.816,
albania,1992,tirana,41.326,19.816,
albania,1972,tirana,41.326,19.816,
algeria,2012,algiers,36.7667,3.2167,
algeria,2008,algiers,36.7667,3.2167,
algeria,2004,algiers,36.7667,3.2167,
algeria,2000,algiers,36.7667,3.2167,
algeria,1996,algiers,36.7667,3.2167,
algeria,1992,algiers,36.7667,3.2167,
algeria,1988,algiers,36.7667,3.2167,
algeria,1984,algiers,36.7667,3.2167,
algeria,1980,algiers,36.7667,3.2167,
algeria,1972,algiers,36.7667,3.2167,
algeria,1968,algiers,36.7667,3.2167,
algeria,1964,algiers,36.7667,3.2167,
american samoa,2012,pago pago,-14.2794,-170.7006,
american samoa,2008,pago pago,-14.2794,-170.7006,
american samoa,2004,pago pago,-14.2794,-170.7006,
american samoa,2000,pago pago,-14.2794,-170.7006,
american samoa,1996,pago pago,-14.2794,-170.7006,
american samoa,1992,pago pago,-14.2794,-170.7006,
american samoa,1988,pago pago,-14.2794,-170.7006,
andorra,2012,andorra la vella,42.5,1.5,
andorra,2008,andorra la vella,42.5,1.5,
andorra,2004,andorra la vella,42.5,1.5,
andorra,2000,andorra la vella,42.5,1.5,
andorra,1996,andorra la vella,42.5,1.5,
andorra,1992,andorra la vella,42.5,1.5,
andorra,1988,andorra la vella,42.5,1.5,
andorra,1984,andorra la vella,42.5,1.5,
andorra,1980,andorra la vella,42.5,1.5,
andorra,1976,andorra la vella,42.5,1.5,
angola,2012,luanda,-8.8383,13.2344,
angola,2008,luanda,-8.8383,13.2344,
angola,2004,luanda,-8.8383,13.2344,
angola,2000,luanda,-8.8383,13.2344,
angola,1996,luanda,-8.8383,13.2344,
